Price,Date
5456,06/05/2023
5456,06/05/2023
5456,07/05/2023
5456,07/05/2023
5456,07/05/2023
5456,07/05/2023
5456,07/05/2023
5456,08/05/2023
5456,08/05/2023
5456,08/05/2023
5456,09/05/2023
5456,09/05/2023
5456,09/05/2023
5456,10/05/2023
5456,10/05/2023
5456,10/05/2023
5456,11/05/2023
5456,11/05/2023
5456,11/05/2023
5456,12/05/2023
5456,12/05/2023
5456,12/05/2023
5456,13/05/2023
5456,13/05/2023
5456,13/05/2023
5456,14/05/2023
5456,14/05/2023
5456,14/05/2023
5456,15/05/2023
5456,15/05/2023
5456,15/05/2023
5456,16/05/2023
5456,16/05/2023
5456,16/05/2023
5456,17/05/2023
5456,17/05/2023
5456,17/05/2023
5456,18/05/2023
5456,18/05/2023
5456,18/05/2023
5456,19/05/2023
5456,19/05/2023
5456,19/05/2023
5456,20/05/2023
5456,20/05/2023
5456,20/05/2023
5456,21/05/2023
5456,21/05/2023
5456,21/05/2023
5456,22/05/2023
5456,22/05/2023
5456,22/05/2023
5456,23/05/2023
5456,23/05/2023
5456,23/05/2023
5456,24/05/2023
5456,24/05/2023
5456,24/05/2023
5456,25/05/2023
5456,25/05/2023
5499,25/05/2023
5499,26/05/2023
5499,26/05/2023
5499,26/05/2023
5499,27/05/2023
5499,27/05/2023
5499,28/05/2023
5499,28/05/2023
5499,28/05/2023
5499,29/05/2023
5499,29/05/2023
5499,29/05/2023
5499,30/05/2023
5499,30/05/2023
5499,30/05/2023
5499,31/05/2023
5499,31/05/2023
5499,31/05/2023
5499,01/06/2023
5499,01/06/2023
5399,01/06/2023
5399,02/06/2023
5399,02/06/2023
5399,02/06/2023
5399,03/06/2023
5399,03/06/2023
5399,03/06/2023
5399,04/06/2023
5399,04/06/2023
5399,04/06/2023
5399,05/06/2023
5399,05/06/2023
5399,05/06/2023
5399,06/06/2023
5399,06/06/2023
5399,06/06/2023
5399,07/06/2023
5399,07/06/2023
4849,07/06/2023
4849,08/06/2023
4849,08/06/2023
4849,08/06/2023
4849,09/06/2023
4849,09/06/2023
4949,09/06/2023
4949,10/06/2023
4949,10/06/2023
4873,10/06/2023
4873,11/06/2023
4873,11/06/2023
4873,11/06/2023
4873,12/06/2023
4873,12/06/2023
4949,12/06/2023
4949,13/06/2023
4949,13/06/2023
4849,13/06/2023
4849,14/06/2023
4849,14/06/2023
4849,14/06/2023
4849,15/06/2023
4849,15/06/2023
4849,15/06/2023
4849,16/06/2023
4849,16/06/2023
4849,16/06/2023
4849,17/06/2023
4849,17/06/2023
4849,17/06/2023
4849,18/06/2023
4849,18/06/2023
4849,18/06/2023
4849,19/06/2023
4849,19/06/2023
4849,19/06/2023
4849,20/06/2023
4751,20/06/2023
4751,20/06/2023
4751,21/06/2023
4751,21/06/2023
4751,21/06/2023
4751,22/06/2023
4751,22/06/2023
4751,22/06/2023
4751,23/06/2023
4751,23/06/2023
4751,23/06/2023
4751,24/06/2023
4751,24/06/2023
4751,24/06/2023
4751,25/06/2023
4751,25/06/2023
4751,25/06/2023
4751,26/06/2023
4751,26/06/2023
5052,26/06/2023
5052,27/06/2023
5052,27/06/2023
5052,27/06/2023
5052,28/06/2023
5052,28/06/2023
5052,28/06/2023
5052,29/06/2023
5052,29/06/2023
5052,29/06/2023
5052,30/06/2023
5052,30/06/2023
5052,30/06/2023
5052,01/07/2023
5052,01/07/2023
5052,01/07/2023
5052,02/07/2023
5052,02/07/2023
5052,02/07/2023
5052,03/07/2023
5052,03/07/2023
5395,03/07/2023
5395,04/07/2023
5395,04/07/2023
5049,04/07/2023
5049,05/07/2023
5049,05/07/2023
5049,05/07/2023
5049,06/07/2023
4999,06/07/2023
4999,06/07/2023
4999,07/07/2023
4999,07/07/2023
4999,07/07/2023
4999,08/07/2023
4999,08/07/2023
4999,08/07/2023
4999,09/07/2023
4999,09/07/2023
4999,09/07/2023
4999,10/07/2023
4999,10/07/2023
4999,10/07/2023
4999,11/07/2023
4999,11/07/2023
4999,12/07/2023
4999,12/07/2023
4999,12/07/2023
4999,12/07/2023
